Date Added,Title
6/12/2023,Phish delivered due to an ETR override involving one user
6/12/2023,Phish delivered due to an ETR override
6/12/2023,Phish delivered due to an ETR override involving multiple users
6/12/2023,Messages have been delayed
6/12/2023,Phish not zapped because ZAP is disabled
6/12/2023,Email reported by user as malware or phish involving one user
6/12/2023,Suspicious email sending patterns detected
6/12/2023,Malware not zapped because ZAP is disabled
6/12/2023,Malware not zapped because ZAP is disabled involving one user
6/12/2023,Email reported by user as junk
6/12/2023,Email reported by user as not junk
6/12/2023,Email reported by user as not junk involving one user
